      Lon      Lat    Year  Fraction
    23.75    61.75    2098      1.00
    23.75    61.75    2099      1.00
    23.75    61.75    2100      1.00
    23.75    61.75    2101      1.00
    23.75    61.75    2102      1.00
    23.75    61.75    2103      1.00
    23.75    61.75    2104      1.00
    23.75    61.75    2105      1.00
    23.75    61.75    2106      1.00
    23.75    61.75    2107      1.00
    23.75    61.75    2108      1.00
    23.75    61.75    2109      1.00
    23.75    61.75    2110      1.00
    23.75    61.75    2111      1.00
    23.75    61.75    2112      1.00
    23.75    61.75    2113      1.00
    23.75    61.75    2114      1.00
    23.75    61.75    2115      1.00
    23.75    61.75    2116      1.00
    23.75    61.75    2117      1.00
    23.75    61.75    2118      1.00
    23.75    61.75    2119      1.00
    23.75    61.75    2120      1.00
    23.75    61.75    2121      1.00
    23.75    61.75    2122      1.00
    23.75    61.75    2123      1.00
    23.75    61.75    2124      1.00
    23.75    61.75    2125      1.00
    23.75    61.75    2126      1.00
    23.75    61.75    2127      1.00
    23.75    61.75    2128      1.00
    23.75    61.75    2129      1.00
    23.75    61.75    2130      1.00
    21.75    37.75    1980      0.00
    21.75    37.75    1981      0.00
    21.75    37.75    1982      0.00
    21.75    37.75    1983      0.00
    21.75    37.75    1984      0.00
    21.75    37.75    1985      0.00
    21.75    37.75    1986      0.00
    21.75    37.75    1987      0.00
    21.75    37.75    1988      0.00
    21.75    37.75    1989      0.00
    21.75    37.75    1990      0.00
    21.75    37.75    1991      0.00
    21.75    37.75    1992      0.00
    21.75    37.75    1993      0.00
    21.75    37.75    1994      0.00
    21.75    37.75    1995      0.00
    21.75    37.75    1996      0.00
    21.75    37.75    1997      0.00
    21.75    37.75    1998      0.00
    21.75    37.75    1999      0.00
    21.75    37.75    2000      0.00
    21.75    37.75    2001      0.00
    21.75    37.75    2002      0.00
    21.75    37.75    2003      0.00
    21.75    37.75    2004      0.00
    21.75    37.75    2005      0.00
    21.75    37.75    2006      0.00
    21.75    37.75    2007      0.00
    21.75    37.75    2008      0.00
    21.75    37.75    2009      0.00
    21.75    37.75    2010      0.00
    21.75    37.75    2011      0.00
    21.75    37.75    2012      0.00
    21.75    37.75    2013      0.00
    21.75    37.75    2014      0.00
    21.75    37.75    2015      0.00
    21.75    37.75    2016      0.00
    21.75    37.75    2017      0.00
    21.75    37.75    2018      0.00
    21.75    37.75    2019      0.00
    21.75    37.75    2020      0.00
    21.75    37.75    2021      0.00
    21.75    37.75    2022      0.00
    21.75    37.75    2023      0.00
    21.75    37.75    2024      0.00
    21.75    37.75    2025      0.00
    21.75    37.75    2026      0.00
    21.75    37.75    2027      0.00
    21.75    37.75    2028      0.00
    21.75    37.75    2029      0.00
    21.75    37.75    2030      0.00
    21.75    37.75    2031      0.00
    21.75    37.75    2032      0.16
    21.75    37.75    2033      0.16
    21.75    37.75    2034      0.16
    21.75    37.75    2035      0.16
    21.75    37.75    2036      0.16
    21.75    37.75    2037      0.16
    21.75    37.75    2038      0.16
    21.75    37.75    2039      0.16
    21.75    37.75    2040      0.16
    21.75    37.75    2041      0.16
    21.75    37.75    2042      0.16
    21.75    37.75    2043      0.16
    21.75    37.75    2044      0.16
    21.75    37.75    2045      0.16
    21.75    37.75    2046      0.16
    21.75    37.75    2047      0.16
    21.75    37.75    2048      0.16
    21.75    37.75    2049      0.16
    21.75    37.75    2050      0.16
    21.75    37.75    2051      0.16
    21.75    37.75    2052      0.16
    21.75    37.75    2053      0.16
    21.75    37.75    2054      0.16
    21.75    37.75    2055      0.16
    21.75    37.75    2056      0.16
    21.75    37.75    2057      0.16
    21.75    37.75    2058      0.47
    21.75    37.75    2059      0.47
    21.75    37.75    2060      0.47
    21.75    37.75    2061      0.47
    21.75    37.75    2062      0.47
    21.75    37.75    2063      0.47
    21.75    37.75    2064      0.47
    21.75    37.75    2065      0.47
    21.75    37.75    2066      0.47
    21.75    37.75    2067      0.47
    21.75    37.75    2068      0.47
    21.75    37.75    2069      0.47
    21.75    37.75    2070      0.47
    21.75    37.75    2071      0.47
    21.75    37.75    2072      0.47
    21.75    37.75    2073      0.47
    21.75    37.75    2074      0.47
    21.75    37.75    2075      0.47
    21.75    37.75    2076      0.47
    21.75    37.75    2077      0.47
    21.75    37.75    2078      0.47
    21.75    37.75    2079      0.47
    21.75    37.75    2080      0.47
    21.75    37.75    2081      0.47
    21.75    37.75    2082      0.47
    21.75    37.75    2083      0.47
    21.75    37.75    2084      0.47
    21.75    37.75    2085      0.47
    21.75    37.75    2086      0.47
    21.75    37.75    2087      0.47
    21.75    37.75    2088      0.47
    21.75    37.75    2089      0.65
    21.75    37.75    2090      0.66
    21.75    37.75    2091      0.66
    21.75    37.75    2092      0.66
    21.75    37.75    2093      0.66
    21.75    37.75    2094      0.66
    21.75    37.75    2095      0.66
    21.75    37.75    2096      0.66
    21.75    37.75    2097      0.66
    21.75    37.75    2098      0.66
    21.75    37.75    2099      0.66
    21.75    37.75    2100      0.66
    21.75    37.75    2101      0.66
    21.75    37.75    2102      0.66
    21.75    37.75    2103      0.66
    21.75    37.75    2104      0.66
    21.75    37.75    2105      0.66
    21.75    37.75    2106      0.66
    21.75    37.75    2107      0.66
    21.75    37.75    2108      0.66
    21.75    37.75    2109      0.66
    21.75    37.75    2110      0.66
    21.75    37.75    2111      0.66
    21.75    37.75    2112      0.66
    21.75    37.75    2113      0.66
    21.75    37.75    2114      0.66
    21.75    37.75    2115      0.66
    21.75    37.75    2116      0.66
    21.75    37.75    2117      0.66
    21.75    37.75    2118      0.66
    21.75    37.75    2119      0.75
